Fecha,Edad
2020-03-15,1
2020-03-18,1
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,1
2020-03-25,1
2020-03-27,2
2020-03-28,1
2020-03-29,2
2020-03-30,1
2020-03-31,2
2020-04-01,3
2020-04-02,2
2020-04-03,4
2020-04-04,3
2020-04-05,1
2020-04-06,1
2020-04-07,3
2020-04-09,3
2020-04-10,1
2020-04-11,3
2020-04-12,4
2020-04-13,7
2020-04-14,3
2020-04-16,4
2020-04-17,4
2020-04-18,1
2020-04-19,3
2020-04-21,5
2020-04-22,3
2020-04-24,1
2020-04-25,1
2020-04-26,4
2020-04-27,3
2020-04-28,3
2020-04-29,1
2020-04-30,1
2020-05-01,1
2020-05-03,1
2020-05-04,2
2020-05-06,4
2020-05-07,2
2020-05-08,3
2020-05-09,3
2020-05-10,5
2020-05-11,6
2020-05-12,4
2020-05-13,6
2020-05-14,5
2020-05-15,6
2020-05-16,11
2020-05-17,21
2020-05-18,32
2020-05-19,18
2020-05-20,17
2020-05-21,33
2020-05-22,22
2020-05-23,8
2020-05-24,9
2020-05-25,8
2020-05-26,16
2020-05-27,18
2020-05-28,18
2020-05-29,17
2020-05-30,11
2020-05-31,8
2020-06-01,25
2020-06-02,23
2020-06-03,43
2020-06-04,22
2020-06-05,39
2020-06-06,20
2020-06-07,6
2020-06-08,31
2020-06-09,26
2020-06-10,41
2020-06-11,28
2020-06-12,32
2020-06-13,29
2020-06-14,9
2020-06-15,21
2020-06-16,31
2020-06-17,40
2020-06-18,40
2020-06-19,45
2020-06-20,35
2020-06-21,14
2020-06-22,18
2020-06-23,67
2020-06-24,49
2020-06-25,59
2020-06-26,55
2020-06-27,54
2020-06-28,52
2020-06-29,29
2020-06-30,92
2020-07-01,115
2020-07-02,65
2020-07-03,99
2020-07-04,82
2020-07-05,39
2020-07-06,99
2020-07-07,103
2020-07-08,83
2020-07-09,130
2020-07-10,89
2020-07-11,97
2020-07-12,57
2020-07-13,120
2020-07-14,96
2020-07-15,124
2020-07-16,136
2020-07-17,113
2020-07-18,102
2020-07-19,53
2020-07-20,69
2020-07-21,126
2020-07-22,93
2020-07-23,127
2020-07-24,140
2020-07-25,117
2020-07-26,89
2020-07-27,181
2020-07-28,130
2020-07-29,196
2020-07-30,224
2020-07-31,151
2020-08-01,131
2020-08-02,167
2020-08-03,216
2020-08-04,146
2020-08-05,200
2020-08-06,246
2020-08-07,177
2020-08-08,183
2020-08-09,75
2020-08-10,245
2020-08-11,178
2020-08-12,187
2020-08-13,160
2020-08-14,165
2020-08-15,109
2020-08-16,141
2020-08-17,95
2020-08-18,131
2020-08-19,127
2020-08-20,105
2020-08-21,118
2020-08-22,111
2020-08-23,102
2020-08-24,166
2020-08-25,147
2020-08-26,104
2020-08-27,145
2020-08-28,114
2020-08-29,63
2020-08-30,56
2020-08-31,79
2020-09-01,69
2020-09-02,101
2020-09-03,84
2020-09-04,103
2020-09-05,63
2020-09-06,34
2020-09-07,134
2020-09-08,91
2020-09-09,79
2020-09-10,61
2020-09-11,86
2020-09-12,56
2020-09-13,53
2020-09-14,79
2020-09-15,65
2020-09-16,46
2020-09-17,35
2020-09-18,48
2020-09-19,58
2020-09-20,56
2020-09-21,78
2020-09-22,78
2020-09-23,80
2020-09-24,50
2020-09-25,58
2020-09-26,76
2020-09-27,32
2020-09-28,64
2020-09-29,51
2020-09-30,62
2020-10-01,37
2020-10-02,53
2020-10-03,45
2020-10-04,45
2020-10-05,80
2020-10-06,77
2020-10-07,58
2020-10-08,87
2020-10-09,67
2020-10-10,44
2020-10-11,33
2020-10-12,35
2020-10-13,59
2020-10-14,54
2020-10-15,63
2020-10-16,63
2020-10-17,48
2020-10-18,53
2020-10-19,112
2020-10-20,101
2020-10-21,68
2020-10-22,59
2020-10-23,78
2020-10-24,62
2020-10-25,37
2020-10-26,65
2020-10-27,66
2020-10-28,78
2020-10-29,39
2020-10-30,82
2020-10-31,48
2020-11-01,37
2020-11-02,50
2020-11-03,77
2020-11-04,52
2020-11-05,56
2020-11-06,55
2020-11-07,63
2020-11-08,38
2020-11-09,80
2020-11-10,63
2020-11-11,48
2020-11-12,71
2020-11-13,54
2020-11-14,41
2020-11-15,64
2020-11-16,38
2020-11-17,42
2020-11-18,66
2020-11-19,75
2020-11-20,91
2020-11-21,43
2020-11-22,32
2020-11-23,80
2020-11-24,49
2020-11-25,48
2020-11-26,60
2020-11-27,88
2020-11-28,42
2020-11-29,29
2020-11-30,116
2020-12-01,60
2020-12-02,48
2020-12-03,67
2020-12-04,63
2020-12-05,48
2020-12-06,51
2020-12-07,85
2020-12-08,44
2020-12-09,88
2020-12-10,126
2020-12-11,119
2020-12-12,71
2020-12-13,67
2020-12-14,82
2020-12-15,109
2020-12-16,70
2020-12-17,81
2020-12-18,103
2020-12-19,104
2020-12-20,59
2020-12-21,78
2020-12-22,116
2020-12-23,103
2020-12-24,112
2020-12-25,140
2020-12-26,183
2020-12-27,135
2020-12-28,134
2020-12-29,104
2020-12-30,129
2020-12-31,83
2021-01-01,64
2021-01-02,98
2021-01-03,90
2021-01-04,171
2021-01-05,163
2021-01-06,181
2021-01-07,152
2021-01-08,199
2021-01-09,169
2021-01-10,131
2021-01-11,130
2021-01-12,242
2021-01-13,261
2021-01-14,218
2021-01-15,152
2021-01-16,134
2021-01-17,90
2021-01-18,142
2021-01-19,76
2021-01-20,310
2021-01-21,111
2021-01-22,129
2021-01-23,163
2021-01-24,43
2021-01-25,89
2021-01-26,76
2021-01-27,93
2021-01-28,89
2021-01-29,116
2021-01-30,71
2021-01-31,35
2021-02-01,82
2021-02-02,48
2021-02-03,49
2021-02-04,50
2021-02-05,101
2021-02-06,44
2021-02-07,28
2021-02-08,66
2021-02-09,35
2021-02-10,64
2021-02-11,50
2021-02-12,41
2021-02-13,28
2021-02-14,14
2021-02-15,44
2021-02-16,24
2021-02-17,35
2021-02-18,33
2021-02-19,35
2021-02-20,30
2021-02-21,9
2021-02-22,31
2021-02-23,44
2021-02-24,28
2021-02-25,44
2021-02-26,36
2021-02-27,16
2021-02-28,20
2021-03-01,39
2021-03-02,35
2021-03-03,26
2021-03-04,15
2021-03-05,32
2021-03-06,14
2021-03-07,13
2021-03-08,34
2021-03-09,43
2021-03-10,19
2021-03-11,15
2021-03-12,56
2021-03-13,35
2021-03-14,16
2021-03-15,59
2021-03-16,78
2021-03-17,55
2021-03-18,36
2021-03-19,37
2021-03-20,30
2021-03-21,18
2021-03-22,11
2021-03-23,87
2021-03-24,36
2021-03-25,62
2021-03-26,51
2021-03-27,55
2021-03-28,38
2021-03-29,68
2021-03-30,82
2021-03-31,83
2021-04-01,53
2021-04-02,64
2021-04-03,87
2021-04-04,56
2021-04-05,103
2021-04-06,92
2021-04-07,150
2021-04-08,147
2021-04-09,172
2021-04-10,128
2021-04-11,77
2021-04-12,137
2021-04-13,92
2021-04-14,157
2021-04-15,161
2021-04-16,145
2021-04-17,116
2021-04-18,96
2021-04-19,138
2021-04-20,157
2021-04-21,174
2021-04-22,178
2021-04-23,215
2021-04-24,135
2021-04-25,95
2021-04-26,160
2021-04-27,215
2021-04-28,125
2021-04-29,209
2021-04-30,231
2021-05-01,134
2021-05-02,98
2021-05-03,207
2021-05-04,170
2021-05-05,172
2021-05-06,256
2021-05-07,261
2021-05-08,185
2021-05-09,134
2021-05-10,328
2021-05-11,321
2021-05-12,245
2021-05-13,276
2021-05-14,357
2021-05-15,281
2021-05-16,216
2021-05-17,232
2021-05-18,307
2021-05-19,323
2021-05-20,424
2021-05-21,421
2021-05-22,290
2021-05-23,385
2021-05-24,331
2021-05-25,329
2021-05-26,451
2021-05-27,452
2021-05-28,464
2021-05-29,368
2021-05-30,243
2021-05-31,388
2021-06-01,407
2021-06-02,514
2021-06-03,417
2021-06-04,461
2021-06-05,261
2021-06-06,306
2021-06-07,154
2021-06-08,387
2021-06-09,387
2021-06-10,521
2021-06-11,506
2021-06-12,418
2021-06-13,479
2021-06-14,362
2021-06-15,441
2021-06-16,349
2021-06-17,418
2021-06-18,517
2021-06-19,315
2021-06-20,281
2021-06-21,412
2021-06-22,417
2021-06-23,392
2021-06-24,346
2021-06-25,291
2021-06-26,312
2021-06-27,226
2021-06-28,228
2021-06-29,281
2021-06-30,207
2021-07-01,337
2021-07-02,247
2021-07-03,236
2021-07-04,102
2021-07-05,110
2021-07-06,173
2021-07-07,203
2021-07-08,234
2021-07-09,181
2021-07-10,156
2021-07-11,117
2021-07-12,172
2021-07-13,206
2021-07-14,130
2021-07-15,83
2021-07-16,126
2021-07-17,76
2021-07-18,45
2021-07-19,89
2021-07-20,41
2021-07-21,92
2021-07-22,73
2021-07-23,79
2021-07-24,33
2021-07-25,25
2021-07-26,61
2021-07-27,68
2021-07-28,62
2021-07-29,44
2021-07-30,56
2021-07-31,33
2021-08-01,21
2021-08-02,26
2021-08-03,28
2021-08-04,21
2021-08-05,12
2021-08-06,11
2021-08-07,16
2021-08-08,20
2021-08-09,24
2021-08-10,13
2021-08-11,14
2021-08-12,18
2021-08-13,12
2021-08-14,6
2021-08-15,6
2021-08-16,3
2021-08-17,39
2021-08-18,9
2021-08-19,9
2021-08-20,12
2021-08-21,6
2021-08-22,2
2021-08-23,9
2021-08-24,7
2021-08-25,7
2021-08-26,5
2021-08-27,14
2021-08-28,4
2021-08-29,7
2021-08-30,11
2021-08-31,5
2021-09-01,4
2021-09-02,5
2021-09-03,5
2021-09-04,10
2021-09-05,2
2021-09-06,6
2021-09-08,6
2021-09-09,3
2021-09-10,1
2021-09-11,1
2021-09-12,2
2021-09-13,8
2021-09-14,6
2021-09-16,5
2021-09-17,3
2021-09-18,4
2021-09-19,2
2021-09-20,3
2021-09-21,5
2021-09-22,5
2021-09-23,3
2021-09-24,13
2021-09-25,7
2021-09-26,3
2021-09-28,2
2021-09-29,4
2021-09-30,3
2021-10-01,3
2021-10-02,1
2021-10-03,1
2021-10-04,6
2021-10-05,8
2021-10-06,1
2021-10-09,3
2021-10-11,3
2021-10-12,3
2021-10-13,1
2021-10-15,3
2021-10-17,3
2021-10-19,6
2021-10-20,2
2021-10-21,1
2021-10-22,1
2021-10-23,6
2021-10-24,8
2021-10-25,5
2021-10-26,8
2021-10-27,3
2021-10-28,2
2021-10-29,5
2021-10-30,2
2021-10-31,1
2021-11-01,9
2021-11-02,6
2021-11-03,2
2021-11-04,3
2021-11-05,9
2021-11-06,10
2021-11-07,5
2021-11-08,12
2021-11-09,3
2021-11-10,6
2021-11-11,3
2021-11-13,5
2021-11-14,2
2021-11-17,1
2021-11-18,2
2021-11-19,2
2021-11-20,4
